day,month,year,mintp,mxntp,p,evp
7,5,2015,22.58,29.72,0.59,3.031016509
8,5,2015,24.39,30.07,0.43,3.079955276
9,5,2015,23.55,32.18,0.17,4.010662761
10,5,2015,24.37,31.89,11,3.024667941
11,5,2015,23.74,30.28,53.04,2.481067316
12,5,2015,23.07,29.27,16.61,1.758516571
13,5,2015,23.22,30.14,2.36,3.062858986
14,5,2015,22.78,30.8,0.37,3.851868296
15,5,2015,23.55,29.9,0.93,3.447503031
16,5,2015,22.43,31.19,0.07,3.921785189
17,5,2015,22.9,30.62,0.01,3.794250732
18,5,2015,22.09,30.68,0.09,4.148250463
19,5,2015,23.26,30.3,1.46,3.633272081
20,5,2015,24.83,28.99,17.59,2.707370365
21,5,2015,23.32,26.58,28.68,1.082380767
22,5,2015,23.35,28.15,20.37,1.370801169
23,5,2015,23.92,25.89,29.07,1.012021668
24,5,2015,24.07,25.95,39.95,0.875595498
25,5,2015,23.88,26.29,78.47,0.807948765
26,5,2015,23.23,25.69,32.41,0.683467128
27,5,2015,22.63,26.87,4.55,1.513384626
28,5,2015,24.23,27.2,13.97,1.671861497
29,5,2015,24.79,27.78,17.68,1.793841493
30,5,2015,24.51,28.18,8.87,2.104957174
31,5,2015,24.52,28.02,7.21,1.729303329
1,6,2015,24.17,29.01,0.58,2.509260699
2,6,2015,23.67,29.29,0.96,2.789408635
3,6,2015,24.14,28.99,0.82,2.656920036
4,6,2015,24.29,29.43,0.82,2.623471232
5,6,2015,23.5,29.21,0.35,2.68634282
6,6,2015,24.69,29.34,0.92,1.901065822
7,6,2015,23.97,30.02,0.25,3.028623291
8,6,2015,23.22,30.02,0.01,3.183297767
9,6,2015,23.73,30.22,0.24,3.06443972
10,6,2015,25.06,29.64,0.57,2.774084288
11,6,2015,25.06,29.75,1.18,3.000410391
12,6,2015,24.67,30.86,2.15,3.229298475
13,6,2015,24.45,30.43,1.04,3.160998141
14,6,2015,24.57,30.29,0.69,3.135790051
15,6,2015,24.57,30.86,0.14,3.393606765
16,6,2015,24.34,30.74,0.03,3.29491861
17,6,2015,24,30.76,0.1,3.363759342
18,6,2015,24.38,31.08,0.1,3.538829244
19,6,2015,25.31,30.95,0.7,3.282686259
20,6,2015,24.76,31.36,0.45,3.198840189
21,6,2015,25.09,31.65,3.13,3.791732912
22,6,2015,25.22,30.66,6.38,3.22287453
23,6,2015,25.27,28.35,29.84,1.844716201
24,6,2015,25.13,28.97,8.16,2.430475273
25,6,2015,25.09,29.39,2.87,2.586582394
26,6,2015,25.63,29.62,0.98,2.699076195
27,6,2015,25.57,29.78,0.98,2.91768951
28,6,2015,24.97,28.94,0.42,2.53091323
29,6,2015,24.5,29.97,0.28,2.848533536
30,6,2015,25.55,30.65,0.8,3.13686456
1,7,2015,25.86,30.7,1.52,2.841051333
2,7,2015,25.87,30.66,1.52,3.228685956
3,7,2015,25.2,31.25,0.21,3.252282422
4,7,2015,25.19,32.36,0.96,2.909498744
5,7,2015,26.5,31.29,7.89,2.239468616
6,7,2015,26.14,30.64,14.02,2.27419814
7,7,2015,25.56,30.63,18.83,2.595111932
8,7,2015,25.75,28.47,63.86,1.788978257
9,7,2015,25.47,29.52,10.64,2.308272179
10,7,2015,25.44,29.6,5.05,2.711986162
11,7,2015,25.43,28.18,3.78,2.548402876
12,7,2015,25.32,28.17,2.31,2.151247234
13,7,2015,25.07,28.69,18.99,2.371594183
14,7,2015,24.9,29.49,5.53,2.412206827
15,7,2015,24.69,29.64,4.02,2.713674496
16,7,2015,25.08,29.87,5.62,2.397192766
17,7,2015,25.39,29.74,3.13,2.360965788
18,7,2015,25.48,30.52,13.21,2.440755864
19,7,2015,24.89,27.3,47.89,1.827759051
20,7,2015,24.39,27.72,17,1.798711941
21,7,2015,24.16,28.69,2.35,2.81950007
22,7,2015,23.79,28.02,10.15,2.163921772
23,7,2015,23.68,29.33,1.5,2.341774656
24,7,2015,22.99,28.91,0.45,2.718284164
25,7,2015,23.44,29.58,0.95,2.866621956
26,7,2015,24.46,29.41,1.45,2.765193215
27,7,2015,24.24,28.09,10.26,2.34017211
28,7,2015,23.71,27.92,5.16,1.972000341
29,7,2015,23.41,27.87,0.5,2.35166944
30,7,2015,22.9,29.81,0.17,3.025332414
31,7,2015,23.8,30.49,0.02,3.088812343
1,8,2015,23.71,30.46,0.04,2.848309045
2,8,2015,23.75,30.69,0.18,2.975386904
3,8,2015,24.61,30.65,0.2,2.709887408
4,8,2015,24.89,30.29,0.68,2.492328893
5,8,2015,24.5,29.77,3.07,2.322330971
6,8,2015,24.02,30.56,0.74,2.864071661
7,8,2015,25.12,32.21,15,3.887594271
8,8,2015,25.69,26.53,113.08,2.002720004
9,8,2015,25.54,28.05,18.9,1.617598419
10,8,2015,24.66,29.12,3.37,2.499966161
11,8,2015,24.28,29.35,0.9,2.709116946
12,8,2015,24.78,28.39,6.57,2.200095959
13,8,2015,24.82,28.1,5.13,1.650957814
14,8,2015,24.39,27.96,6.89,2.258841852
15,8,2015,24.31,27.14,9.84,1.803727715
16,8,2015,24.06,28.41,7.79,2.195490567
17,8,2015,24.35,27.97,9.72,1.109937293
18,8,2015,24.92,28.67,4.26,1.542928891
19,8,2015,24.86,29.55,1.9,1.782035826
20,8,2015,24.92,31.32,2.85,2.414159258
21,8,2015,25.19,31.4,10.64,3.236723814
22,8,2015,25.51,30.61,19.09,2.181975911
