-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,
Dates (month/day/year): 04/01/2014 through 07/31/2016 ,,,,,,,,,,,
Location: Latitude  22.6439   Longitude 120.6 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 369.24 meters   Site = na ,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -99 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) ,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,DOY,PRECTOT,WS2M,RH2M,T2MDEW,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,T2M
22.64391,120.60001,2014,227,2.45,2.51,87.06,24.34,28.7,24.82,23.49,26.73
22.64391,120.60001,2014,228,5.4,1.27,84.4,23.71,28.89,24.98,20.94,26.6
22.64391,120.60001,2014,229,4.78,2.85,84.56,23.39,28.51,24.25,20.61,26.24
22.64391,120.60001,2014,230,24.3,4.23,87.52,23.86,28.36,24.51,12.59,26.14
22.64391,120.60001,2014,231,6.59,3.34,87.95,23.2,26.85,24.35,21.65,25.37
22.64391,120.60001,2014,232,0.59,2.66,84.19,22.79,28.11,23.5,17.19,25.71
22.64391,120.60001,2014,233,12.24,0.97,77.77,22.35,30.35,23.41,23.6,26.63
22.64391,120.60001,2014,234,5.26,1.21,79.35,22.71,30.02,23.98,23.35,26.62
22.64391,120.60001,2014,235,0.49,1.18,78.5,22.91,30.11,24.31,23.3,27.03
22.64391,120.60001,2014,236,0.19,1.62,79.45,23.08,30.12,24.36,23.5,26.98
22.64391,120.60001,2014,237,6.88,1.74,80.34,23.2,29.93,24.46,22.61,26.9
22.64391,120.60001,2014,238,5.19,2.75,81.96,23.23,28.91,24.39,21.15,26.62
22.64391,120.60001,2014,239,0.74,2.71,80.44,22.72,28.87,24.23,24.36,26.41
22.64391,120.60001,2014,240,0.8,1.81,80.38,23.03,29.32,24.35,22.92,26.74
22.64391,120.60001,2014,241,2.44,1.63,81.39,23.19,28.74,24.66,18.14,26.72
22.64391,120.60001,2014,242,3.73,1.79,80.27,23.01,29.29,24.69,22.36,26.73
22.64391,120.60001,2014,243,3.02,1.04,80.49,23.07,29.48,24.25,21.29,26.75
22.64391,120.60001,2014,244,1.45,0.95,77.5,22.91,30.41,24.82,22.77,27.23
22.64391,120.60001,2014,245,0.36,1.05,76.5,22.82,29.92,25.44,23.01,27.35
22.64391,120.60001,2014,246,0.32,1.34,80.23,23.16,29.51,24.84,21.96,26.88
22.64391,120.60001,2014,247,0.09,0.8,79.83,23.2,30.05,24.59,21.13,27.01
22.64391,120.60001,2014,248,0.57,1.84,77.74,23.23,30.83,24.69,23.53,27.51
22.64391,120.60001,2014,249,0.27,1.44,81.65,24.08,29.58,25.81,21.41,27.53
22.64391,120.60001,2014,250,0.79,1.37,87.08,24.39,28.24,25.39,15.04,26.74
22.64391,120.60001,2014,251,1.05,1.98,84.57,23.77,28.5,24.91,14.61,26.62
